movieId,title,genreID
1,Toy Story (1995),1
1,Toy Story (1995),2
1,Toy Story (1995),3
1,Toy Story (1995),4
1,Toy Story (1995),5
2,Jumanji (1995),1
2,Jumanji (1995),3
2,Jumanji (1995),5
3,Grumpier Old Men (1995),4
3,Grumpier Old Men (1995),6
4,Waiting to Exhale (1995),4
4,Waiting to Exhale (1995),7
4,Waiting to Exhale (1995),6
5,Father of the Bride Part II (1995),4
6,Heat (1995),8
6,Heat (1995),9
6,Heat (1995),10
7,Sabrina (1995),4
7,Sabrina (1995),6
8,Tom and Huck (1995),1
8,Tom and Huck (1995),3
9,Sudden Death (1995),8
10,GoldenEye (1995),8
10,GoldenEye (1995),1
10,GoldenEye (1995),10
11,"American President, The (1995)",4
11,"American President, The (1995)",7
11,"American President, The (1995)",6
12,Dracula: Dead and Loving It (1995),4
12,Dracula: Dead and Loving It (1995),11
13,Balto (1995),1
13,Balto (1995),2
13,Balto (1995),3
14,Nixon (1995),7
15,Cutthroat Island (1995),8
15,Cutthroat Island (1995),1
15,Cutthroat Island (1995),6
16,Casino (1995),9
16,Casino (1995),7
17,Sense and Sensibility (1995),7
17,Sense and Sensibility (1995),6
18,Four Rooms (1995),4
19,Ace Ventura: When Nature Calls (1995),4
20,Money Train (1995),8
20,Money Train (1995),4
20,Money Train (1995),9
20,Money Train (1995),7
20,Money Train (1995),10
21,Get Shorty (1995),4
21,Get Shorty (1995),9
21,Get Shorty (1995),10
22,Copycat (1995),9
22,Copycat (1995),7
22,Copycat (1995),11
22,Copycat (1995),12
22,Copycat (1995),10
23,Assassins (1995),8
23,Assassins (1995),9
23,Assassins (1995),10
24,Powder (1995),7
24,Powder (1995),13
25,Leaving Las Vegas (1995),7
25,Leaving Las Vegas (1995),6
26,Othello (1995),7
27,Now and Then (1995),3
27,Now and Then (1995),7
28,Persuasion (1995),7
28,Persuasion (1995),6
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",7
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",5
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",12
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",13
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),9
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),7
31,Dangerous Minds (1995),7
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),12
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),13
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),10
33,Wings of Courage (1995),1
33,Wings of Courage (1995),6
33,Wings of Courage (1995),14
34,Babe (1995),3
34,Babe (1995),7
35,Carrington (1995),7
35,Carrington (1995),6
36,Dead Man Walking (1995),9
36,Dead Man Walking (1995),7
37,Across the Sea of Time (1995),15
37,Across the Sea of Time (1995),14
38,It Takes Two (1995),3
38,It Takes Two (1995),4
39,Clueless (1995),4
39,Clueless (1995),6
40,"Cry, the Beloved Country (1995)",7
41,Richard III (1995),7
41,Richard III (1995),16
42,Dead Presidents (1995),8
42,Dead Presidents (1995),9
42,Dead Presidents (1995),7
43,Restoration (1995),7
44,Mortal Kombat (1995),8
44,Mortal Kombat (1995),1
44,Mortal Kombat (1995),5
45,To Die For (1995),4
